broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	isolate	age	biomaterial_provider	sex	tissue	File Prefix	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	pda|jonreinges	SRS1204170	SAMN04330255	IIJXPZI02	IIJXPZI02	9606	Homo sapiens	SRP067274	SRX1478296	SRR2989871	SRA318900	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204170&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204170&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Skin	IIJXPZI02	Human	833386	381179408	2015-12-22	2015-12-22
NCBI	pda|jonreinges	SRS1204169	SAMN04330256	IEUKENP01	IEUKENP01	9606	Homo sapiens	SRP067274	SRX1478297	SRR2989872	SRA318900	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204169&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204169&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Skin	IEUKENP01	Human	533516	242614961	2015-12-22	2015-12-22
NCBI	pda|jonreinges	SRS1204168	SAMN04330257	IEFRY4C04	IEFRY4C04	9606	Homo sapiens	SRP067274	SRX1478298	SRR2989873	SRA318900	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204168&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204168&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Skin	IEFRY4C04	Human	196775	80135638	2015-12-22	2015-12-22
NCBI	pda|jonreinges	SRS1204166	SAMN04330258	IEFRY4C03	IEFRY4C03	9606	Homo sapiens	SRP067274	SRX1478299	SRR2989874	SRA318900	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204166&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204166&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Skin	IEFRY4C03	Human	203649	85378496	2015-12-22	2015-12-22
NCBI	pda|jonreinges	SRS1204167	SAMN04330259	IEFRY4C02	IEFRY4C02	9606	Homo sapiens	SRP067274	SRX1478300	SRR2989875	SRA318900	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204167&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS1204167&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Skin	IEFRY4C02	Human	89562	36738015	2015-12-22	2015-12-22
